STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
26,20700,2620700,Lake Linden-Hubbell School District,00,KG,12,G5420,,E,452422277,487110385,+47.0725998,-088.2717389
26,20730,2620730,Lake Orion Community Schools,00,PK,12,G5420,,E,121611073,7980343,+42.7576640,-083.2624307
26,20820,2620820,Lakeshore School District,00,KG,12,G5420,,E,94997339,1011886,+41.9927803,-086.4899815
26,20850,2620850,Lakeview School District,00,KG,12,G5420,,E,39341918,1557171,+42.2808862,-085.2129035
26,20880,2620880,Lakeview Public Schools,00,KG,12,G5420,,E,10066381,227734,+42.4864126,-082.9027719
26,20910,2620910,Lakeview Community Schools,00,PK,12,G5420,,E,483370957,11555312,+43.4023336,-085.2731004
26,20940,2620940,Lakeville Community Schools,00,PK,12,G5420,,E,228327666,9816423,+43.1691534,-083.4583866
26,20980,2620980,Lakewood Public Schools,00,KG,12,G5420,,E,554190849,4526186,+42.7738664,-085.1244460
26,21120,2621120,Lamphere Public Schools,00,KG,12,G5420,,E,13332900,0,+42.5189243,-083.1051631
26,21150,2621150,Lansing Public School District,00,PK,12,G5420,,E,131857556,2221601,+42.7390050,-084.5521996
26,21180,2621180,Lapeer Community Schools,00,KG,12,G5420,,E,504835108,23434918,+43.0331098,-083.3164244
26,21210,2621210,Lawrence Public School District,00,PK,12,G5420,,E,122740938,3410745,+42.2169212,-086.0441061
26,21240,2621240,Lawton Community School District,00,PK,12,G5420,,E,108939492,4062413,+42.1382734,-085.8421079
26,21390,2621390,Leland Public School District,00,KG,12,G5420,,E,174671887,275158183,+45.1238930,-085.9799661
26,21420,2621420,Les Cheneaux Community Schools,00,KG,12,G5420,,E,315705071,1006250307,+45.9220299,-084.4302599
26,21450,2621450,Leslie Public Schools,00,KG,12,G5420,,E,191232222,1052589,+42.4531285,-084.4444285
26,21570,2621570,Lincoln Consolidated School District,00,PK,12,G5420,,E,152421249,2543492,+42.1475003,-083.5802322
26,21600,2621600,Lincoln Park Public Schools,00,KG,12,G5420,,E,15165330,20489,+42.2432907,-083.1812577
26,21690,2621690,Linden Community Schools,00,KG,12,G5420,,E,117335517,7323979,+42.8072446,-083.8246821
26,21750,2621750,Litchfield Community Schools,00,KG,12,G5420,,E,148723643,727258,+42.0383171,-084.7863762
26,21810,2621810,Alanson Public Schools,00,KG,12,G5420,,E,103261217,5465665,+45.4574150,-084.8009640
26,21840,2621840,Livonia Public Schools,00,PK,12,G5420,,E,101006936,436578,+42.3863643,-083.3755439
26,21870,2621870,L'Anse Creuse Public Schools,00,PK,12,G5420,,E,89444676,3396978,+42.6201766,-082.8387914
26,22050,2622050,Lowell Area Schools,00,KG,12,G5420,,E,339764916,8558817,+42.9413545,-085.3664421
26,22200,2622200,Ludington Area School District,00,KG,12,G5420,,E,178173574,27063718,+43.9669775,-086.4242046
