X,Y,code,lat,lon,elevation,station_name,STATEFP,UNSDLEA,AFFGEOID,GEOID,district,LSAD,ALAND,AWATER
-78.96640,39.04610,USC00466163,39.04610,-78.96640,271.30000,WV MOOREFIELD 1,54,00480,9700000US5400480,5400480,Hardy County School District,00,1508194649,5617193
-78.85000,39.20000,USC00466168,39.20000,-78.85000,262.10000,WV MOOREFIELD MC NEILL,54,00420,9700000US5400420,5400420,Hampshire County School District,00,1658614732,10922070
-80.10000,39.66670,USC00466178,39.66670,-80.10000,-999.90000,WV MOORESVILLE,54,00930,9700000US5400930,5400930,Monongalia School District,00,932572492,15051916
-79.95000,39.63330,USC00466207,39.63330,-79.95000,320.00000,WV MORGANTOWN 1,54,00930,9700000US5400930,5400930,Monongalia School District,00,932572492,15051916
-79.96970,39.62030,USC00466212,39.62030,-79.96970,251.50000,WV MORGANTOWN L&D,54,00930,9700000US5400930,5400930,Monongalia School District,00,932572492,15051916
-80.75500,39.90560,USC00466248,39.90560,-80.75500,189.00000,WV MOUNDSVILLE,54,00750,9700000US5400750,5400750,Marshall County School District,00,791063503,17411500
-80.33330,39.21670,USC00466276,39.21670,-80.33330,317.00000,WV MT CLARE,54,00510,9700000US5400510,5400510,Harrison County School District,00,1077454917,1320319
-80.84830,38.18780,USC00466284,38.18780,-80.84830,594.40000,WV MT NEBO 1,54,01020,9700000US5401020,5401020,Nicholas County School District,00,1675296013,19608975
-79.23330,39.28330,USC00466293,39.28330,-79.23330,869.00000,WV MT STORM,54,00360,9700000US5400360,5400360,Grant County School District,00,1236390684,7545524
-81.32720,37.57830,USC00466325,37.57830,-81.32720,476.70000,WV MULLENS 3,54,01650,9700000US5401650,5401650,Wyoming County School District,00,1293577262,6126986
-82.13330,38.21670,USC00466343,38.21670,-82.13330,213.40000,WV MYRA,54,00660,9700000US5400660,5400660,Lincoln County School District,00,1131925075,4023478
-81.48330,37.86670,USC00466362,37.86670,-81.48330,369.10000,WV NAOMA,54,01230,9700000US5401230,5401230,Raleigh County School District,00,1567864566,10336250
-80.85000,39.68330,USC00466467,39.68330,-80.85000,214.00000,WV NEW MARTINSVILLE 4,54,01560,9700000US5401560,5401560,Wetzel County School District,00,927380674,8458366
-81.20000,38.58330,USC00466480,38.58330,-81.20000,-999.90000,WV NEWTON,54,01320,9700000US5401320,5401320,Roane County School District,00,1252422377,404682
-81.01670,38.06670,USC00466565,38.06670,-81.01670,686.40000,WV NUTTALLBURG,54,00300,9700000US5400300,5400300,Fayette County School District,00,1713494053,17519186
-81.15080,37.97140,USC00466591,37.97140,-81.15080,621.80000,WV OAK HILL,54,00300,9700000US5400300,5400300,Fayette County School District,00,1713494053,17519186
-81.62140,37.67610,USC00466600,37.67610,-81.62140,402.30000,WV OCEANA 2,54,01650,9700000US5401650,5401650,Wyoming County School District,00,1293577262,6126986
-81.63330,37.68330,USC00466602,37.68330,-81.63330,365.80000,WV OCEANA 1,54,01650,9700000US5401650,5401650,Wyoming County School District,00,1293577262,6126986
-78.28330,39.50000,USC00466674,39.50000,-78.28330,289.90000,WV OMPS,54,00990,9700000US5400990,5400990,Morgan County School District,00,593295476,1401570
-80.50000,37.70000,USC00466725,37.70000,-80.50000,678.20000,WV ORGAN CAVE,54,00390,9700000US5400390,5400390,Greenbrier County School District,00,-1654077674,12578200
-79.63330,38.71670,USC00466743,38.71670,-79.63330,1097.30000,WV OSCEOLA (1),54,01260,9700000US5401260,5401260,Randolph County School District,00,-1602156446,667359
-79.63390,39.07360,USC00466867,39.07360,-79.63390,541.00000,WV PARSONS 1,54,01410,9700000US5401410,5401410,Tucker County School District,00,1085094884,5528932
-79.68330,39.10000,USC00466868,39.10000,-79.68330,580.00000,WV PARSONS 2,54,01410,9700000US5401410,5401410,Tucker County School District,00,1085094884,5528932
-79.68330,39.11670,USC00466871,39.11670,-79.68330,487.70000,WV PARSONS 2,54,01410,9700000US5401410,5401410,Tucker County School District,00,1085094884,5528932
-81.90810,37.34530,USC00466900,37.34530,-81.90810,615.70000,WV PAYNESVILLE 1,54,00810,9700000US5400810,5400810,McDowell County School District,00,1381646921,3733264
-82.29860,38.41970,USC00466912,38.41970,-82.29860,174.70000,WV PEA RIDGE PSD,54,00180,9700000US5400180,5400180,Cabell County School District,00,727838071,18122000
-80.96670,39.28330,USC00466920,39.28330,-80.96670,-999.90000,WV PENNSBORO,54,01290,9700000US5401290,5401290,Ritchie County School District,00,1170648311,4425143
-78.66670,39.00000,USC00466940,39.00000,-78.66670,446.50000,WV PERRY,54,00480,9700000US5400480,5400480,Hardy County School District,00,1508194649,5617193
-79.13610,38.99890,USC00466952,38.99890,-79.13610,295.00000,WV PETERSBURG,54,00360,9700000US5400360,5400360,Grant County School District,00,1236390684,7545524
-79.16670,38.96670,USC00466956,38.96670,-79.16670,366.10000,WV PETERSBURG 3,54,00360,9700000US5400360,5400360,Grant County School District,00,1236390684,7545524
-79.20000,38.88330,USC00466960,38.88330,-79.20000,342.90000,WV PETERSBURG 9,54,00360,9700000US5400360,5400360,Grant County School District,00,1236390684,7545524
-80.04110,39.14610,USC00466982,39.14610,-80.04110,396.20000,WV PHILIPPI,54,00030,9700000US5400030,5400030,Barbour County School District,00,883338731,4639232
-80.19580,38.67890,USC00466989,38.67890,-80.19580,877.80000,WV PICKENS 2,54,01260,9700000US5401260,5401260,Randolph County School District,00,-1602156446,667359
-80.21670,38.66670,USC00466991,38.66670,-80.21670,844.30000,WV PICKENS 1,54,01260,9700000US5401260,5401260,Randolph County School District,00,-1602156446,667359
-80.21670,38.65000,USC00466996,38.65000,-80.21670,823.90000,WV PICKENS 2,54,01260,9700000US5401260,5401260,Randolph County School District,00,-1602156446,667359
-80.21670,38.61670,USC00466998,38.61670,-80.21670,1021.10000,WV PICKENS 2,54,01260,9700000US5401260,5401260,Randolph County School District,00,-1602156446,667359
-80.18330,38.61670,USC00467001,38.61670,-80.18330,1066.50000,WV PICKENS 4,54,01260,9700000US5401260,5401260,Randolph County School District,00,-1602156446,667359
-80.70140,40.14780,USC00467018,40.14780,-80.70140,195.10000,WV PIKE ISLAND L&D,54,01050,9700000US5401050,5401050,Ohio County School District,00,274098955,8274300
-81.53560,37.57420,USC00467029,37.57420,-81.53560,402.30000,WV PINEVILLE,54,01650,9700000US5401650,5401650,Wyoming County School District,00,1293577262,6126986
-79.53330,39.51670,USC00467055,39.51670,-79.53330,-999.90000,WV PLEASANT HILL PRESTON,54,01170,9700000US5401170,5401170,Preston County School District,00,1680406633,6681831
-82.13330,38.85000,USC00467105,38.85000,-82.13330,174.00000,WV POINT PLEASANT,54,00780,9700000US5400780,5400780,Mason County School District,00,1115633279,36174541
-82.06670,38.91670,USC00467110,38.91670,-82.06670,192.00000,WV POINT PLEASANT 6,54,00780,9700000US5400780,5400780,Mason County School District,00,1115633279,36174541
-82.11670,38.91670,USC00467112,38.91670,-82.11670,185.90000,WV POINT PLEASANT 5,54,00780,9700000US5400780,5400780,Mason County School District,00,1115633279,36174541
-80.56670,39.05000,USC00467115,39.05000,-80.56670,326.10000,WV POLK CREEK,54,00630,9700000US5400630,5400630,Lewis County School District,00,1002071716,7108412
-81.31670,38.08330,USC00467135,38.08330,-81.31670,275.50000,WV POWELLTON,54,00300,9700000US5400300,5400300,Fayette County School District,00,1713494053,17519186
-81.08220,37.38420,USC00467207,37.38420,-81.08220,722.40000,WV PRINCETON,54,00840,9700000US5400840,5400840,Mercer County School District,00,1085116214,4432246
